Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
5907,United National Bancorp,30,2003-06-06,2003-12-26
1747,Dolan Company,30,2007-10-05,2008-08-01
1768,Dot Hill Systems Corp.,30,2003-07-11,2015-10-02
5057,"Sears Hometown & Outlet Stores, Inc.",30,2013-09-27,2014-05-30
4538,"Point Blank Solutions, Inc.",30,2004-07-02,2005-03-11
4547,Pool Energy Services Co.,30,1997-08-08,1999-11-19
2075,ExOne Co.,30,2013-09-27,2014-07-11
2095,"F & M Bancorporation, Inc.",30,1999-04-09,1999-10-29
3002,InterVoice Inc.,30,1999-11-19,2004-04-23
4448,Petrolite Corporation,30,1996-12-06,1997-06-27
6956,CURO Group Holdings Corp.,30,2019-05-03,2020-12-25
4444,"Petersen Companies, Inc.",31,1998-07-03,1999-01-29
6430,ProQR Therapeutics N.V.,31,2018-09-07,2019-04-12
5960,"USCS International, Inc.",31,1997-07-04,1998-12-18
6049,VIA Net.Works Inc.,31,2000-03-03,2000-09-29
331,American Realty Capital Trust Inc,31,2012-06-22,2013-01-18
1221,Choice One Communications Inc.,31,2000-03-03,2001-02-16
7040,Watford Holdings Ltd.,31,2019-10-04,2020-12-25
6961,"Mersana Therapeutics, Inc.",31,2020-05-29,2020-12-25
170,AirNet Communications Corporation,31,2000-01-07,2000-09-29
7109,SiTime Corporation,31,2020-05-22,2020-12-25
4090,"Nord Anglia Education, Inc.",31,2017-03-03,2017-09-29
2186,First Federal Capital Corp.,31,2004-01-02,2004-10-29
6623,Patheon NV,31,2017-03-03,2017-09-29
5761,"Triangle Pharmaceuticals, Inc.",31,1999-07-30,2000-03-31
5036,"Scopus Technology, Inc.",31,1996-12-06,1997-09-05
3584,"Maxwell Technologies, Inc.",31,2009-10-16,2014-06-13
5796,Trump Entertainment Resorts Inc.,31,2006-10-13,2007-06-01
6353,Zipcar Inc.,31,2011-09-23,2012-04-20
2804,Hudson Valley Holding Corp.,31,2014-11-07,2015-06-26
3028,Intraware Inc Com New,31,1999-07-02,2000-04-07
4507,Piper Jaffray Cos.,32,1997-09-26,1998-05-29
6520,"Old Line Bancshares, Inc.",32,2018-04-20,2019-09-20
4353,PAR Technology Corporation,32,2019-12-20,2020-12-25
6042,"Versata, Inc.",32,2000-04-07,2000-11-10
1686,"Diagnostek, Inc.",32,1992-01-03,1995-04-14
7140,Nikola Corporation,32,2020-05-15,2020-12-18
7121,"Applied Therapeutics, Inc.",32,2020-04-03,2020-12-25
7077,"International Money Express, Inc.",32,2019-10-04,2020-12-25
7165,"Celsius Holdings, Inc.",32,2020-05-22,2020-12-25
7124,"Morphic Holding, Inc.",32,2020-05-22,2020-12-25
5531,"Target Therapeutics, Inc.",32,1996-07-05,1997-04-04
1293,Clinical Data In,32,2009-10-16,2011-04-08
3003,InterVU Inc.,33,1999-07-02,2000-04-14
4510,Pittston Co.,33,1997-05-02,1998-02-13
2026,"Esperion Therapeutics, Inc.",33,2003-06-27,2004-02-27
2762,Hooker Furniture Corporation,33,2017-04-28,2018-08-24
5267,"Specialty Laboratories, Inc.",33,2001-07-06,2002-03-29
3922,"National Golf Properties, Inc.",33,1999-07-02,2001-08-10
3982,Nerco Inc.,33,1992-01-03,1992-11-06
600,Aurora Foods Inc.,33,1999-07-02,2000-02-11
561,"AstroPower, Inc.",33,2001-07-06,2002-05-03
3761,Exabyte Corp,33,1992-01-03,1992-08-14
1265,"Citizens, Inc. Class A",33,2012-01-27,2017-01-13
6867,"KLX Energy Services Holdings, Inc.",33,2018-10-05,2019-05-24
464,"Aratana Therapeutics, Inc.",33,2014-12-19,2015-09-18
2147,Fieldstone Investment Corp.,33,2005-10-07,2006-06-16
3541,"MarketWatch, Inc.",33,1999-07-02,2000-03-24
588,"Atlas Pipeline Partners, L.P.",33,2006-01-06,2006-09-29
6590,Syndax Pharmaceuticals Inc,33,2020-05-01,2020-12-25
2651,"HCI Group, Inc.",33,2013-10-25,2017-03-03
5759,Triangle Pacific Corp.,33,1997-09-05,1998-07-31
7090,Oyster Point Pharma Inc,33,2020-01-03,2020-10-09
455,Apw Ltd Com,33,2000-08-04,2001-03-16
192,"Arcturus Therapeutics Holdings, Inc.",33,2020-05-01,2020-12-25
3386,"Lilly Industries, Inc.",33,1997-07-25,2000-12-29
899,"Broadway Stores, Inc.",33,1993-08-27,1994-11-18
2220,Firstbank of Illinois Co.,34,1997-10-03,1998-06-26
1569,CTC Communications Group Inc.,34,1999-12-31,2000-10-06
6899,"Vapotherm, Inc.",34,2020-05-08,2020-12-25
2269,Force Protection,34,2007-06-22,2009-06-26
829,Bluegreen Corp.,34,2004-12-17,2006-01-27
68,"ACLARA BioSciences, Inc.",34,2000-04-07,2001-01-26
6824,"Sterling Bancorp, Inc.",34,2018-06-08,2019-04-19
5092,"Sequential Brands Group, Inc.",34,2015-04-10,2016-10-14
1509,Cougar Biotechnology,34,2008-10-03,2009-06-26
5512,"Takecare, Inc.",34,1993-01-29,1994-06-24
4704,"Quantum Health Resources, Inc.",34,1994-01-28,1994-12-16
4747,Raser Technologies Inc.,34,2007-10-05,2008-08-08
6984,"SI-BONE, Inc.",34,2019-12-20,2020-12-25
1799,Ducommun Incorporated,34,2019-03-01,2020-12-25
6142,Washington Energy Company,34,1993-01-29,1997-02-07
3175,Keithley Instruments,34,2000-07-07,2001-05-18
6367,Zygo Corporation,34,2000-07-07,2001-05-25
486,AremisSoft Corporation,34,2000-09-15,2001-07-20
6441,NeuroDerm Ltd.,35,2017-03-03,2017-10-27
6129,"Walden Residential Properties, Inc.",35,1999-07-02,2000-02-25
6318,Xpedior Incorporated,35,2000-01-07,2000-09-01
6296,Wyle Electronics,35,1995-09-08,1997-08-29
6372,Bellicum Pharmaceuticals Inc,35,2015-03-27,2016-12-02
6758,"Daseke, Inc.",35,2018-01-05,2018-09-28
5510,Tahoe Resources Inc.,35,2017-03-03,2017-10-27
3905,"NAPCO Security Technologies, Inc.",35,2019-05-10,2020-12-18
4601,Price Legacy Corporation,35,1997-07-04,2004-12-31
4514,Placer Sierra Bancshares,35,2006-10-06,2007-06-01
2856,"Ignyta, Inc.",35,2015-09-18,2018-02-02
2756,"HomeSide, Inc.",35,1997-07-04,1998-02-27
6221,Westmoreland Coal Company,35,2014-06-13,2015-04-17
471,Arcadian Corporation,35,1996-07-05,1997-02-28
1112,"Cell Pathways, Inc.",36,2000-01-21,2000-09-22
6686,"SendGrid, Inc.",36,2018-06-01,2019-02-01
706,"Bassett Furniture Industries, Inc.",36,1993-01-01,1994-01-14
1464,Convera Corp. Class A,36,2000-03-03,2005-12-16
5207,Soapstone Networks Inc.,36,2000-09-01,2001-05-25
1548,"Critical Care America, Inc.",36,1992-01-03,1992-09-04
5659,Ticketmaster Entertainment,36,2008-08-22,2010-01-22
6571,"BATS Global Markets, Inc.",36,2016-06-24,2017-02-24
4054,Newpower Holdings,36,2000-11-03,2001-07-06
2064,Exchange Applications Com New,36,1999-11-19,2000-09-15
2193,"First Florida Banks, Inc.",36,1992-04-17,1992-12-25
4987,Santa Fe Pacific Pipeline Partners,36,1997-07-04,1998-03-06
5600,"Terra Nitrogen Company, L.P.",36,1997-07-04,1998-04-17
1290,"Click Commerce, Inc.",36,2000-08-04,2001-05-25
1249,Circle K Corporation,36,1995-09-01,1996-05-24
6416,Adaptimmune Therapeutics PLC Sponsored ADR,36,2017-04-28,2018-03-30
2718,Hi / Fn Inc Com,36,1999-07-02,2000-11-03
872,"Bradley Real Estate, Inc.",36,1998-04-17,2000-09-29
321,American Medical Security,36,1997-05-09,1998-06-12
4771,Realogy Corporation,36,2006-08-04,2007-04-06
4218,On Command Corporation,36,1999-06-25,2000-06-02
4900,Rohr Inc.,36,1997-01-03,1997-12-19
7069,"CrossFirst Bankshares, Inc.",36,2019-10-04,2020-12-25
460,"Aquila Merchant Services, Inc.",36,2001-05-04,2002-01-04
392,"Anaren, Inc.",36,2000-07-07,2001-08-03
